sepal_length	sepal_width	petal_length	petal_width	species	predict
6.3	2.5	4.9	1.5	versicolor	6.18252123098032
6.1	2.8	4.7	1.2	versicolor	6.29386739510263
6.4	2.9	4.3	1.3	versicolor	6.02617978196441
6.6	3	4.4	1.4	versicolor	6.12212727288058
6.8	2.8	4.8	1.4	versicolor	6.30421481743744
6.7	3	5	1.7	versicolor	6.46492000003176
6	2.9	4.5	1.5	versicolor	6.1092542251101
5.7	2.6	3.5	1	versicolor	5.3747022051615
5.5	2.4	3.8	1.1	versicolor	5.45287292966946
5.5	2.4	3.7	1	versicolor	5.41133570809661
5.8	2.7	3.9	1.2	versicolor	5.65764095927227
6	2.7	5.1	1.6	versicolor	6.40560601205069
5.4	3	4.5	1.5	versicolor	6.16366449445343
6	3.4	4.5	1.6	versicolor	6.35011577258869
6.7	3.1	4.7	1.5	versicolor	6.36352880541851
6.3	2.3	4.4	1.3	versicolor	5.77244518671534
5.6	3	4.1	1.3	versicolor	5.93513600968597
5.5	2.5	4	1.3	versicolor	5.59035764215847
5.5	2.6	4.4	1.2	versicolor	5.96686579398335
6.1	3	4.6	1.4	versicolor	6.26758131450233
5.8	2.6	4	1.2	versicolor	5.67595771073983
5	2.3	3.3	1	versicolor	5.06601735550977
5.6	2.7	4.2	1.3	versicolor	5.84463222246688
5.7	3	4.2	1.2	versicolor	6.03905282973488
5.7	2.9	4.2	1.3	versicolor	5.95345276115353
6.2	2.9	4.3	1.3	versicolor	6.02617978196441
5.1	2.5	3	1.1	versicolor	4.92546703252575
5.7	2.8	4.1	1.3	versicolor	5.82631547099932
6.3	3.3	6	2.5	virginica	6.94938345696772
5.8	2.7	5.1	1.9	virginica	6.15551744903806
7.1	3	5.9	2.1	virginica	6.838184825079
6.3	2.9	5.6	1.8	virginica	6.65916289101713
6.5	3	5.8	2.2	virginica	6.73426800503009
7.6	3	6.6	2.1	virginica	7.34727397075515
4.9	2.5	4.5	1.7	virginica	5.6727143839622
7.3	2.9	6.3	1.8	virginica	7.16825203669328
6.7	2.5	5.8	1.8	virginica	6.58697585526559
7.2	3.6	6.1	2.5	virginica	7.18534128580857
6.5	3.2	5.1	2	virginica	6.39637899651665
6.4	2.7	5.3	1.9	virginica	6.30097149065981
6.8	3	5.5	2.1	virginica	6.54727674183548
5.7	2.5	5	2	virginica	5.9427800903025
5.8	2.8	5.1	2.4	virginica	6.05397872219122
6.4	3.2	5.3	2.3	virginica	6.44826364042431
6.5	3	5.5	1.8	virginica	6.64084613954958
7.7	3.8	6.7	2.2	virginica	7.82409334707459
7.7	2.6	6.9	2.3	virginica	7.28543435733843
6	2.2	5	1.5	virginica	5.93549827846268
6.9	3.2	5.7	2.3	virginica	6.73917172366783
5.6	2.8	4.9	2	virginica	6.03328387752159
7.7	2.8	6.7	2	virginica	7.34237025211741
6.3	2.7	4.9	1.8	virginica	6.04125320665433
6.7	3.3	5.7	2.1	virginica	6.85596159148721
7.2	3.2	6	1.8	virginica	7.11330178229062
6.2	2.8	4.8	1.8	virginica	6.02293645518678
6.1	3	4.9	1.8	virginica	6.2044840146843
6.4	2.8	5.6	2.1	virginica	6.51118322395971
7.2	3	5.8	1.6	virginica	6.92140680045828
7.4	2.8	6.1	1.9	virginica	6.93719792649017
7.9	3.8	6.4	2	virginica	7.66829188311801
6.4	2.8	5.6	2.2	virginica	6.47999342472168
6.3	2.8	5.1	1.5	virginica	6.33468691533351
6.1	2.6	5.6	1.4	virginica	6.62069127993928
7.7	3	6.1	2.3	virginica	6.92125926822469
6.3	3.4	5.6	2.4	virginica	6.74407544230556
6.4	3.1	5.5	1.8	virginica	6.6952564088929
6	3	4.8	1.8	virginica	6.13175699387342
6.9	3.1	5.4	2.1	virginica	6.52895999036793
6.7	3.1	5.6	2.4	virginica	6.58084463427559
6.9	3.1	5.1	2.3	virginica	6.24839932945923
5.8	2.7	5.1	1.9	virginica	6.15551744903806
6.8	3.2	5.9	2.3	virginica	6.88462576528958
6.7	3.3	5.7	2.5	virginica	6.73120239453509
6.7	3	5.2	2.3	virginica	6.26671608092678
6.3	2.5	5	1.9	virginica	5.97396988954053
6.5	3	5.2	2	virginica	6.36028547864088
6.2	3.4	5.4	2.3	virginica	6.62981119992184
5.9	3	5.1	1.8	virginica	6.34993805630606
