sepal_length	sepal_width	petal_length	petal_width	species	predict
6.4	3.2	5.3	2.3	virginica	6.42165755357997
6.5	3	5.5	1.8	virginica	6.70371646475824
7.7	3.8	6.7	2.2	virginica	7.98276724762214
7.7	2.6	6.9	2.3	virginica	7.36339443574125
6	2.2	5	1.5	virginica	5.94924426936937
6.9	3.2	5.7	2.3	virginica	6.74894676046413
5.6	2.8	4.9	2	virginica	5.99395429016236
7.7	2.8	6.7	2	virginica	7.46675572114108
6.3	2.7	4.9	1.8	virginica	6.02907268174433
6.7	3.3	5.7	2.1	virginica	6.90653846717121
7.2	3.2	6	1.8	virginica	7.23530128848856
6.2	2.8	4.8	1.8	virginica	6.00848703758585
6.1	3	4.9	1.8	virginica	6.21278265443201
6.4	2.8	5.6	2.1	virginica	6.51853287763738
7.2	3	5.8	1.6	virginica	7.04553841906589
7.4	2.8	6.1	1.9	virginica	7.0239994353871
7.9	3.8	6.4	2	virginica	7.83365539160354
6.4	2.8	5.6	2.2	virginica	6.47035535306512
6.3	2.8	5.1	1.5	virginica	6.39848651646576
6.1	2.6	5.6	1.4	virginica	6.7333022345181
7.7	3	6.1	2.3	virginica	6.95376265222317
6.3	3.4	5.6	2.4	virginica	6.74142024929594
6.4	3.1	5.5	1.8	virginica	6.7649531223208
6	3	4.8	1.8	virginica	6.13096035271097
6.9	3.1	5.4	2.1	virginica	6.53859824688297
6.7	3.1	5.6	2.4	virginica	6.55771027660827
6.9	3.1	5.1	2.3	virginica	6.19677629257533
5.8	2.7	5.1	1.9	virginica	6.14453976061415
6.8	3.2	5.9	2.3	virginica	6.91259136390621
6.7	3.3	5.7	2.5	virginica	6.71382836888216
6.7	3	5.2	2.3	virginica	6.21736193673381
6.3	2.5	5	1.9	virginica	5.94024414376799
6.5	3	5.2	2	virginica	6.3618945104506
6.2	3.4	5.4	2.3	virginica	6.62595317042612
5.9	3	5.1	1.8	virginica	6.37642725787408
